"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3GK2FTVS","preprint","2014","Simonyan, Karen; Vedaldi, Andrea; Zisserman, Andrew","Deep Inside Convolutional Networks: Visualising Image Classification Models and Saliency Maps","","","","","http://arxiv.org/abs/1312.6034","This paper addresses the visualisation of image classiﬁcation models, learnt using deep Convolutional Networks (ConvNets). We consider two visualisation techniques, based on computing the gradient of the class score with respect to the input image. The ﬁrst one generates an image, which maximises the class score [5], thus visualising the notion of the class, captured by a ConvNet. The second technique computes a class saliency map, speciﬁc to a given image and class. We show that such maps can be employed for weakly supervised object segmentation using classiﬁcation ConvNets. Finally, we establish the connection between the gradient-based ConvNet visualisation methods and deconvolutional networks [13].","2014-04-19","2022-11-18 12:27:34","2022-11-18 12:27:35","2022-11-18 12:27:34","","","","","","","Deep Inside Convolutional Networks","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:1312.6034 [cs]","","/Users/eragon/Zotero/storage/EXEY4ASY/Simonyan et al. - 2014 - Deep Inside Convolutional Networks Visualising Im.pdf","","","Computer Science - Computer Vision and Pattern Recognition","","","","","","","","","","","","","","","","","","","arXiv:1312.6034","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TSID7Z5N","preprint","2016","Ribeiro, Marco Tulio; Singh, Sameer; Guestrin, Carlos","""Why Should I Trust You?"": Explaining the Predictions of Any Classifier","","","","","http://arxiv.org/abs/1602.04938","Despite widespread adoption, machine learning models remain mostly black boxes. Understanding the reasons behind predictions is, however, quite important in assessing trust, which is fundamental if one plans to take action based on a prediction, or when choosing whether to deploy a new model. Such understanding also provides insights into the model, which can be used to transform an untrustworthy model or prediction into a trustworthy one. In this work, we propose LIME, a novel explanation technique that explains the predictions of any classiﬁer in an interpretable and faithful manner, by learning an interpretable model locally around the prediction. We also propose a method to explain models by presenting representative individual predictions and their explanations in a non-redundant way, framing the task as a submodular optimization problem. We demonstrate the ﬂexibility of these methods by explaining diﬀerent models for text (e.g. random forests) and image classiﬁcation (e.g. neural networks). We show the utility of explanations via novel experiments, both simulated and with human subjects, on various scenarios that require trust: deciding if one should trust a prediction, choosing between models, improving an untrustworthy classiﬁer, and identifying why a classiﬁer should not be trusted.","2016-08-09","2022-11-18 12:27:43","2022-11-18 12:27:43","2022-11-18 12:27:43","","","","","","","""Why Should I Trust You?","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:1602.04938 [cs, stat]","","/Users/eragon/Zotero/storage/J66379K9/Ribeiro et al. - 2016 - Why Should I Trust You Explaining the Predicti.pdf","","","Computer Science - Artificial Intelligence; Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:1602.04938","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C8SLUCVQ","preprint","2015","Hinton, Geoffrey; Vinyals, Oriol; Dean, Jeff","Distilling the Knowledge in a Neural Network","","","","","http://arxiv.org/abs/1503.02531","A very simple way to improve the performance of almost any machine learning algorithm is to train many different models on the same data and then to average their predictions [3]. Unfortunately, making predictions using a whole ensemble of models is cumbersome and may be too computationally expensive to allow deployment to a large number of users, especially if the individual models are large neural nets. Caruana and his collaborators [1] have shown that it is possible to compress the knowledge in an ensemble into a single model which is much easier to deploy and we develop this approach further using a different compression technique. We achieve some surprising results on MNIST and we show that we can signiﬁcantly improve the acoustic model of a heavily used commercial system by distilling the knowledge in an ensemble of models into a single model. We also introduce a new type of ensemble composed of one or more full models and many specialist models which learn to distinguish ﬁne-grained classes that the full models confuse. Unlike a mixture of experts, these specialist models can be trained rapidly and in parallel.","2015-03-09","2022-11-18 12:27:46","2022-11-18 12:27:46","2022-11-18 12:27:46","","","","","","","","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:1503.02531 [cs, stat]","","/Users/eragon/Zotero/storage/TRICABTJ/Hinton et al. - 2015 - Distilling the Knowledge in a Neural Network.pdf","","","Computer Science - Machine Learning; Statistics - Machine Learning; Computer Science - Neural and Evolutionary Computing","","","","","","","","","","","","","","","","","","","arXiv:1503.02531","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5HSJU6F2","preprint","2015","Springenberg, Jost Tobias; Dosovitskiy, Alexey; Brox, Thomas; Riedmiller, Martin","Striving for Simplicity: The All Convolutional Net","","","","10.48550/arXiv.1412.6806","http://arxiv.org/abs/1412.6806","Most modern convolutional neural networks (CNNs) used for object recognition are built using the same principles: Alternating convolution and max-pooling layers followed by a small number of fully connected layers. We re-evaluate the state of the art for object recognition from small images with convolutional networks, questioning the necessity of different components in the pipeline. We find that max-pooling can simply be replaced by a convolutional layer with increased stride without loss in accuracy on several image recognition benchmarks. Following this finding -- and building on other recent work for finding simple network structures -- we propose a new architecture that consists solely of convolutional layers and yields competitive or state of the art performance on several object recognition datasets (CIFAR-10, CIFAR-100, ImageNet). To analyze the network we introduce a new variant of the ""deconvolution approach"" for visualizing features learned by CNNs, which can be applied to a broader range of network structures than existing approaches.","2015-04-13","2022-11-18 12:29:43","2022-11-18 12:29:43","2022-11-18 12:29:43","","","","","","","Striving for Simplicity","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1412.6806 [cs]","","/Users/eragon/Zotero/storage/DQH9A4MX/Springenberg et al. - 2015 - Striving for Simplicity The All Convolutional Net.pdf","","","Computer Science - Computer Vision and Pattern Recognition; Computer Science - Machine Learning; Computer Science - Neural and Evolutionary Computing","","","","","","","","","","","","","","","","","","","arXiv:1412.6806","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RJLN5TSA","preprint","2018","Ghorbani, Amirata; Abid, Abubakar; Zou, James","Interpretation of Neural Networks is Fragile","","","","10.48550/arXiv.1710.10547","http://arxiv.org/abs/1710.10547","In order for machine learning to be deployed and trusted in many applications, it is crucial to be able to reliably explain why the machine learning algorithm makes certain predictions. For example, if an algorithm classifies a given pathology image to be a malignant tumor, then the doctor may need to know which parts of the image led the algorithm to this classification. How to interpret black-box predictors is thus an important and active area of research. A fundamental question is: how much can we trust the interpretation itself? In this paper, we show that interpretation of deep learning predictions is extremely fragile in the following sense: two perceptively indistinguishable inputs with the same predicted label can be assigned very different interpretations. We systematically characterize the fragility of several widely-used feature-importance interpretation methods (saliency maps, relevance propagation, and DeepLIFT) on ImageNet and CIFAR-10. Our experiments show that even small random perturbation can change the feature importance and new systematic perturbations can lead to dramatically different interpretations without changing the label. We extend these results to show that interpretations based on exemplars (e.g. influence functions) are similarly fragile. Our analysis of the geometry of the Hessian matrix gives insight on why fragility could be a fundamental challenge to the current interpretation approaches.","2018-11-06","2022-11-18 12:37:26","2022-11-18 12:37:26","2022-11-18 12:37:26","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1710.10547 [cs, stat]","","/Users/eragon/Zotero/storage/9YPQ3RXB/Ghorbani et al. - 2018 - Interpretation of Neural Networks is Fragile.pdf; /Users/eragon/Zotero/storage/K7RINCR7/Ghorbani et al. - 2018 - Interpretation of Neural Networks is Fragile.pdf","","","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:1710.10547","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FXYNGHZ4","preprint","2017","Kindermans, Pieter-Jan; Hooker, Sara; Adebayo, Julius; Alber, Maximilian; Schütt, Kristof T.; Dähne, Sven; Erhan, Dumitru; Kim, Been","The (Un)reliability of saliency methods","","","","10.48550/arXiv.1711.00867","http://arxiv.org/abs/1711.00867","Saliency methods aim to explain the predictions of deep neural networks. These methods lack reliability when the explanation is sensitive to factors that do not contribute to the model prediction. We use a simple and common pre-processing step ---adding a constant shift to the input data--- to show that a transformation with no effect on the model can cause numerous methods to incorrectly attribute. In order to guarantee reliability, we posit that methods should fulfill input invariance, the requirement that a saliency method mirror the sensitivity of the model with respect to transformations of the input. We show, through several examples, that saliency methods that do not satisfy input invariance result in misleading attribution.","2017-11-02","2022-11-18 12:37:32","2022-11-18 12:37:32","2022-11-18 12:37:32","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1711.00867 [cs, stat]","","/Users/eragon/Zotero/storage/EBUDRT4E/Kindermans et al. - 2017 - The (Un)reliability of saliency methods.pdf","","","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:1711.00867","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DUH6GKKK","preprint","2014","Lin, Min; Chen, Qiang; Yan, Shuicheng","Network In Network","","","","10.48550/arXiv.1312.4400","http://arxiv.org/abs/1312.4400","We propose a novel deep network structure called ""Network In Network"" (NIN) to enhance model discriminability for local patches within the receptive field. The conventional convolutional layer uses linear filters followed by a nonlinear activation function to scan the input. Instead, we build micro neural networks with more complex structures to abstract the data within the receptive field. We instantiate the micro neural network with a multilayer perceptron, which is a potent function approximator. The feature maps are obtained by sliding the micro networks over the input in a similar manner as CNN; they are then fed into the next layer. Deep NIN can be implemented by stacking mutiple of the above described structure. With enhanced local modeling via the micro network, we are able to utilize global average pooling over feature maps in the classification layer, which is easier to interpret and less prone to overfitting than traditional fully connected layers. We demonstrated the state-of-the-art classification performances with NIN on CIFAR-10 and CIFAR-100, and reasonable performances on SVHN and MNIST datasets.","2014-03-04","2022-11-18 12:38:46","2022-11-18 12:38:46","2022-11-18 12:38:46","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1312.4400 [cs]","","/Users/eragon/Zotero/storage/ZYBABWJK/Lin et al. - 2014 - Network In Network.pdf","","","Computer Science - Computer Vision and Pattern Recognition; Computer Science - Machine Learning; Computer Science - Neural and Evolutionary Computing","","","","","","","","","","","","","","","","","","","arXiv:1312.4400","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D2G3N3RS","preprint","2022","Gan, Zhe; Li, Linjie; Li, Chunyuan; Wang, Lijuan; Liu, Zicheng; Gao, Jianfeng","Vision-Language Pre-training: Basics, Recent Advances, and Future Trends","","","","","http://arxiv.org/abs/2210.09263","This paper surveys vision-language pre-training (VLP) methods for multimodal intelligence that have been developed in the last few years. We group these approaches into three categories: (i) VLP for image-text tasks, such as image captioning, image-text retrieval, visual question answering, and visual grounding; (ii) VLP for core computer vision tasks, such as (open-set) image classiﬁcation, object detection, and segmentation; and (iii) VLP for video-text tasks, such as video captioning, video-text retrieval, and video question answering. For each category, we present a comprehensive review of state-of-the-art methods, and discuss the progress that has been made and challenges still being faced, using speciﬁc systems and models as case studies. In addition, for each category, we discuss advanced topics being actively explored in the research community, such as big foundation models, uniﬁed modeling, in-context few-shot learning, knowledge, robustness, and computer vision in the wild, to name a few.","2022-10-17","2022-11-19 16:00:03","2022-11-19 16:00:03","2022-11-19 16:00:03","","","","","","","Vision-Language Pre-training","","","","","arXiv","","en","","","","","arXiv.org","","arXiv:2210.09263 [cs]","","/Users/eragon/Zotero/storage/RZ5EPBRS/Gan et al. - 2022 - Vision-Language Pre-training Basics, Recent Advan.pdf","","","Computer Science - Computer Vision and Pattern Recognition; Computer Science - Computation and Language","","","","","","","","","","","","","","","","","","","arXiv:2210.09263","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"857SPYI9","conferencePaper","2021","Zhang, Linjun; Deng, Zhun; Kawaguchi, Kenji; Ghorbani, Amirata; Zou, James","How Does Mixup Help With Robustness and Generalization?","","","","","https://openreview.net/forum?id=8yKEo06dKNo","Mixup is a popular data augmentation technique based on on convex combinations of pairs of examples and their labels. This simple technique has shown to substantially improve both the model's robustness as well as the generalization of the trained model. However, it is not well-understood why such improvement occurs. In this paper, we provide theoretical analysis to demonstrate how using Mixup in training helps model robustness and generalization. For robustness, we show that minimizing the Mixup loss corresponds to approximately minimizing an upper bound of the adversarial loss. This explains why models obtained by Mixup training exhibits robustness to several kinds of adversarial attacks such as Fast Gradient Sign Method (FGSM). For generalization, we prove that Mixup augmentation corresponds to a specific type of data-adaptive regularization which reduces overfitting. Our analysis provides new insights and a framework to understand Mixup.","2021-03-17","2022-11-20 12:19:47","2022-11-20 12:19:47","2022-11-20 12:19:47","","","","","","","","","","","","","","en","","","","","openreview.net","","","","/Users/eragon/Zotero/storage/67D6JV6N/Zhang et al. - 2021 - How Does Mixup Help With Robustness and Generaliza.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","International Conference on Learning Representations","","","","","","","","","","","","","","",""
"S4K4WQZ7","preprint","2017","Dabkowski, Piotr; Gal, Yarin","Real Time Image Saliency for Black Box Classifiers","","","","10.48550/arXiv.1705.07857","http://arxiv.org/abs/1705.07857","In this work we develop a fast saliency detection method that can be applied to any differentiable image classifier. We train a masking model to manipulate the scores of the classifier by masking salient parts of the input image. Our model generalises well to unseen images and requires a single forward pass to perform saliency detection, therefore suitable for use in real-time systems. We test our approach on CIFAR-10 and ImageNet datasets and show that the produced saliency maps are easily interpretable, sharp, and free of artifacts. We suggest a new metric for saliency and test our method on the ImageNet object localisation task. We achieve results outperforming other weakly supervised methods.","2017-05-22","2022-11-24 09:23:47","2022-11-24 09:23:47","2022-11-24 09:23:46","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1705.07857 [stat]","","/Users/eragon/Zotero/storage/AFR2PAGY/Dabkowski and Gal - 2017 - Real Time Image Saliency for Black Box Classifiers.pdf","","","Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","arXiv:1705.07857","","","","","","","","","","","","","","","","","","","","","","","","","","",""
